Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency,Transaction Description
2023-08-16 09:26:54.119000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,541.17,,,
2023-08-16 09:27:15.947000,fees,Trading Fee,NL0011540547,ABN Amro,,EUR,,,-1.99,,,,18.39,,,Order Id: 9f87933f-3674-42c0-95a3-a91e686d0d17
2023-08-16 09:27:15.947000,trades,Buy Trade,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,-520.79,520.79,13.705,38.0,20.38,,,Order Partial Id: 9f87933f-3674-42c0-95a3-a91e686d0d17 - 1
2023-08-22 17:53:58.644000,deposits,Sepa Deposit,,,,EUR,,,1000.0,,,,1018.39,,,
2023-08-22 17:54:16.362000,trades,Buy Trade,US0378331005,Apple,USD,EUR,EURUSD,1.08198,-489.94,530.1,176.7,3.0,528.45,,,Order Partial Id: 00ca3060-7a6a-4e42-b055-73ea6c512b9f - 1
2023-08-22 17:54:16.363000,fees,Trading Fee,US0378331005,Apple,,EUR,,,-0.99,,,,527.46,,,Order Id: 00ca3060-7a6a-4e42-b055-73ea6c512b9f
2023-08-22 17:54:16.363000,trades,Buy Trade,US0378331005,Apple,USD,EUR,EURUSD,1.08198,-10.06,10.8898443,176.7,0.061629,517.4,,,Order Partial Id: 00ca3060-7a6a-4e42-b055-73ea6c512b9f - 2
2023-08-22 17:54:28.838000,trades,Buy Trade,US30303M1027,Meta Platforms,USD,EUR,EURUSD,1.08198,-250.0,270.49490945,289.15,0.935483,267.4,,,Order Partial Id: dbc09082-886a-4eda-926c-4e0e3f03fe93 - 1
2023-08-22 17:54:28.839000,fees,Trading Fee,US30303M1027,Meta Platforms,,EUR,,,-0.99,,,,266.41,,,Order Id: dbc09082-886a-4eda-926c-4e0e3f03fe93
2023-08-22 17:54:35.443000,fees,Trading Fee,US88160R1014,Tesla,,EUR,,,-0.99,,,,51.32,,,Order Id: a9ae9b77-0ea2-4b0b-81c4-40063f00e276
2023-08-22 17:54:35.443000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.08195,-214.1,231.65,231.65,1.0,52.31,,,Order Partial Id: a9ae9b77-0ea2-4b0b-81c4-40063f00e276 - 1
2023-08-22 17:54:35.515000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.08195,-51.32,55.5209454,231.65,0.239676,0.0,,,Order Partial Id: a9ae9b77-0ea2-4b0b-81c4-40063f00e276 - 2
2023-09-12 09:57:27.146000,dividends,Cash Dividend,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,49.01,,,,49.01,,,
2023-09-12 09:57:27.231000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,46.02,,,Period: 2023-08
2023-09-18 13:32:01.381000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,10.73,,,,56.75,,,
